decision_id,decision_url,event_date,status,sha256,rows,attempts,error
169,https://mmadecisions.com/decision/169/Randy-Couture-vs-Maurice-Smith,1997-12-21,failed,9b04b39589c6bee1fa451ad6374c73299db4d9c3b647205aa42eccc71e8d19ff,0,1,ValueError: out-of-range official score in decision 169
8993,https://mmadecisions.com/decision/8993/Corey-Anderson-vs-Patrick-Cummins,2018-04-21,failed,1a47ba3439da1e6890191901a3efc8d530481e4d3371448cb1291d918b50c797,0,3,ValueError: round totals do not reconcile in decision 8993
